Step,WallTime,Value
14,1742559290.542483,3.5
27,1742559299.0705278,3.375
43,1742559307.685969,3.5833332538604736
55,1742559315.4832475,3.4375
72,1742559325.497193,3.5999999046325684
84,1742559332.536744,3.5
101,1742559343.3112953,3.607142925262451
114,1742559350.7287579,3.5625
129,1742559360.9737527,3.5833332538604736
141,1742559368.4793134,3.5250000953674316
153,1742559375.3325562,3.4772727489471436
165,1742559383.8846228,3.4375
182,1742559394.4082756,3.5
201,1742559406.8757246,3.5892856121063232
217,1742559417.071859,3.616666555404663
245,1742559436.467726,3.828125
260,1742559446.542789,3.8235294818878174
283,1742559460.8526518,3.930555582046509
301,1742559472.4102573,3.96052622795105
313,1742559479.5277462,3.9124999046325684
325,1742559486.7058747,3.8690476417541504
338,1742559495.5431051,3.840909004211426
353,1742559503.6299417,3.83695650100708
365,1742559512.1750526,3.8020832538604736
377,1742559519.1750004,3.7699999809265137
389,1742559528.7739475,3.75
401,1742559537.3842716,3.740000009536743
414,1742559545.0803056,3.7100000381469727
437,1742559559.8586311,3.819999933242798
454,1742559571.441346,3.819999933242798
470,1742559582.8361354,3.859999895095825
482,1742559589.5213785,3.809999942779541
494,1742559598.1608012,3.799999952316284
519,1742559614.5737972,3.9000000953674316
531,1742559623.0723627,3.9000000953674316
546,1742559631.3814929,3.930000066757202
567,1742559644.6464036,4.019999980926514
582,1742559654.0207386,4.0
596,1742559662.5509539,3.950000047683716
608,1742559670.5876746,3.9100000858306885
620,1742559677.8778274,3.75
639,1742559694.048676,3.7899999618530273
653,1742559702.8384013,3.700000047683716
670,1742559713.8460648,3.690000057220459
692,1742559727.897106,3.7899999618530273
712,1742559741.3384728,3.869999885559082
731,1742559754.5044785,3.930000066757202
750,1742559768.350901,3.9700000286102295
770,1742559781.5824578,4.050000190734863
789,1742559795.3076725,4.119999885559082
801,1742559801.7275937,4.119999885559082
822,1742559815.766705,4.210000038146973
838,1742559826.0596845,4.239999771118164
866,1742559845.122761,4.289999961853027
888,1742559860.4497561,4.340000152587891
912,1742559876.898844,4.420000076293945
933,1742559889.8388562,4.510000228881836
951,1742559900.0941582,4.570000171661377
965,1742559909.1210527,4.460000038146973
980,1742559919.178835,4.489999771118164
996,1742559928.363417,4.5
1008,1742559936.694824,4.409999847412109
1020,1742559943.4294157,4.380000114440918
1033,1742559952.6292238,4.369999885559082
1045,1742559959.7722838,4.369999885559082
1059,1742559968.7842464,4.389999866485596
1075,1742559979.0342476,4.360000133514404
1088,1742559986.7271447,4.349999904632568
1100,1742559995.250091,4.300000190734863
1113,1742560004.1942623,4.210000038146973
1130,1742560014.8397186,4.179999828338623
1145,1742560024.4593668,4.139999866485596
1162,1742560035.8152115,4.119999885559082
1177,1742560045.5385957,4.070000171661377
1191,1742560054.5809186,4.019999980926514
1208,1742560065.9838197,4.070000171661377
1222,1742560075.6173277,4.0
1237,1742560084.0820587,3.990000009536743
1252,1742560093.3265476,3.859999895095825
1275,1742560107.804907,3.869999885559082
1287,1742560116.264613,3.75
1299,1742560123.5590217,3.6600000858306885
1311,1742560131.9385386,3.5999999046325684
1323,1742560139.521691,3.5799999237060547
1337,1742560148.8234499,3.569999933242798
1349,1742560156.058718,3.5299999713897705
1364,1742560166.3846052,3.559999942779541
1376,1742560175.0471961,3.559999942779541
1388,1742560182.766238,3.549999952316284
1401,1742560191.5338354,3.559999942779541
1418,1742560203.5263069,3.5899999141693115
1433,1742560213.787351,3.5799999237060547
1445,1742560221.6664,3.569999933242798
1459,1742560231.1232913,3.5899999141693115
1471,1742560238.1431906,3.5799999237060547
1483,1742560245.826451,3.5299999713897705
1500,1742560257.694113,3.549999952316284
1518,1742560270.8209321,3.559999942779541
1530,1742560277.5933027,3.5299999713897705
