Step,WallTime,Value
14,1742559290.5426142,-0.75
27,1742559299.070618,-0.7838749885559082
43,1742559307.6861012,-0.6300833225250244
55,1742559315.4833193,-0.7225624918937683
72,1742559325.497283,-0.6830499768257141
84,1742559332.53681,-0.7358750104904175
101,1742559343.311383,-0.6761428713798523
114,1742559350.728855,-0.6938437223434448
129,1742559360.9738185,-0.7053611278533936
141,1742559368.4793892,-0.7348250150680542
153,1742559375.3326263,-0.7589318156242371
165,1742559383.8847163,-0.7790208458900452
182,1742559394.4083543,-0.741980791091919
201,1742559406.875852,-0.6991606950759888
217,1742559417.0719247,-0.6935666799545288
245,1742559436.4678104,-0.6197656393051147
260,1742559446.542848,-0.6274264454841614
283,1742559460.8527184,-0.5502222180366516
301,1742559472.410329,-0.5475789308547974
313,1742559479.5278206,-0.5702000260353088
325,1742559486.705948,-0.590666651725769
338,1742559495.543187,-0.5979090929031372
353,1742559503.6300268,-0.5977826118469238
365,1742559512.175134,-0.6145416498184204
377,1742559519.1750684,-0.6299600005149841
389,1742559528.7740216,-0.639959990978241
401,1742559537.384362,-0.6472499966621399
414,1742559545.0803738,-0.6670600175857544
437,1742559559.858729,-0.6028599739074707
454,1742559571.4414098,-0.6056600213050842
470,1742559582.83621,-0.5813599824905396
482,1742559589.5214543,-0.6086500287055969
494,1742559598.1608694,-0.6159399747848511
519,1742559614.5738773,-0.5697500109672546
531,1742559623.0724413,-0.5697500109672546
546,1742559631.3815877,-0.5597500205039978
567,1742559644.6464646,-0.5010600090026855
582,1742559654.0208008,-0.5111600160598755
596,1742559662.5510464,-0.5364599823951721
608,1742559670.5877333,-0.5518500208854675
620,1742559677.8779159,-0.6113399863243103
639,1742559694.048796,-0.5228400230407715
653,1742559702.8384652,-0.583329975605011
670,1742559713.846124,-0.5860400199890137
692,1742559727.8971682,-0.52183997631073
712,1742559741.3385913,-0.4667400121688843
731,1742559754.5045907,-0.4515399932861328
750,1742559768.3509805,-0.4404500126838684
770,1742559781.5825734,-0.37996000051498413
