Step,WallTime,Value
500,1741943316.367368,3.7799999713897705
1000,1741943625.6545167,3.930000066757202
1500,1741943935.1299448,4.079999923706055
2000,1741944243.7087946,4.099999904632568
2500,1741944552.7678735,4.179999828338623
3000,1741944862.6051404,4.309999942779541
3500,1741945169.960764,4.260000228881836
4000,1741945475.567367,4.579999923706055
4500,1741945777.7656517,4.190000057220459
5000,1741946077.4843643,4.079999923706055
5500,1741946380.6635225,4.050000190734863
6000,1741946682.0482905,4.409999847412109
6500,1741946985.3667302,4.150000095367432
7000,1741947289.924338,4.199999809265137
7500,1741947599.94135,3.9700000286102295
8000,1741947914.410173,4.659999847412109
8500,1741948244.9854734,4.710000038146973
9000,1741948556.784571,4.71999979019165
9500,1741948864.482628,4.309999942779541
10000,1741949176.5275238,5.019999980926514
10500,1741949488.7679503,4.559999942779541
11000,1741949801.4215102,4.860000133514404
11500,1741950111.9650223,5.179999828338623
12000,1741950420.1055367,5.940000057220459
12500,1741950726.4124987,5.449999809265137
13000,1741951036.650244,5.400000095367432
13500,1741951347.155442,5.340000152587891
14000,1741951657.9379797,6.039999961853027
14500,1741951968.2339098,5.670000076293945
15000,1741952281.0129898,6.610000133514404
15500,1741952592.9094799,7.170000076293945
16000,1741952905.3109577,7.03000020980835
16500,1741953220.0967138,6.690000057220459
17000,1741953534.6038082,6.960000038146973
17500,1741953848.7586668,7.440000057220459
18000,1741954170.3945763,7.690000057220459
18500,1741954486.8582182,7.599999904632568
19000,1741954801.9516938,7.360000133514404
19500,1741955116.967312,7.679999828338623
20000,1741955429.8404253,8.199999809265137
