Step,WallTime,Value
500,1741943316.3674324,-0.5351600050926208
1000,1741943625.6545851,-0.4864799976348877
1500,1741943935.130034,-0.4357300102710724
2000,1741944243.708874,-0.45976999402046204
2500,1741944552.768003,-0.35954999923706055
3000,1741944862.605229,-0.301800012588501
3500,1741945169.960837,-0.41819998621940613
4000,1741945475.5674367,-0.2119400054216385
4500,1741945777.7657623,-0.42932000756263733
5000,1741946077.4844315,-0.5240100026130676
5500,1741946380.6635883,-0.3594299852848053
6000,1741946682.0483594,-0.2745000123977661
6500,1741946985.366812,-0.41677001118659973
7000,1741947289.9244044,-0.39166000485420227
7500,1741947599.9414186,-0.3947699964046478
8000,1741947914.4102917,-0.09156999737024307
8500,1741948244.9855494,9.999999747378752e-05
9000,1741948556.7846477,-0.021900000050663948
9500,1741948864.4827125,-0.17732000350952148
10000,1741949176.5276036,0.1570499986410141
10500,1741949488.7680423,-0.027780000120401382
11000,1741949801.4216182,0.09786000102758408
11500,1741950111.9650924,0.5817499756813049
12000,1741950420.1056705,1.1787699460983276
12500,1741950726.4125662,0.7912200093269348
13000,1741951036.6503189,0.6266499757766724
13500,1741951347.1555226,0.7474499940872192
14000,1741951657.9380493,1.3844200372695923
14500,1741951968.23408,1.0525399446487427
15000,1741952281.013065,1.9027400016784668
15500,1741952592.9095578,2.355149984359741
16000,1741952905.3110347,2.6375999450683594
16500,1741953220.0968108,2.2871999740600586
17000,1741953534.603877,2.564840078353882
17500,1741953848.7587392,3.1870200634002686
18000,1741954170.3946424,3.51813006401062
18500,1741954486.8582885,3.7474799156188965
19000,1741954801.95176,3.4708399772644043
19500,1741955116.9674122,3.7556300163269043
20000,1741955429.8404958,5.002880096435547
