Step,WallTime,Value
500,1742288270.319115,3.7200000286102295
1000,1742288564.739025,3.869999885559082
1500,1742288859.997495,3.509999990463257
2000,1742289155.5586102,3.890000104904175
2500,1742289447.689302,3.819999933242798
3000,1742289760.7013352,3.7200000286102295
3500,1742290069.7708924,3.4600000381469727
4000,1742290362.3909287,4.03000020980835
4500,1742290654.4782097,4.050000190734863
5000,1742290946.6296062,4.110000133514404
5500,1742291237.307838,3.990000009536743
6000,1742291529.173319,4.150000095367432
6500,1742291821.3980575,4.179999828338623
7000,1742292114.3026664,4.269999980926514
7500,1742292406.219196,4.340000152587891
8000,1742292698.7061236,4.360000133514404
8500,1742292991.7485528,4.53000020980835
9000,1742293285.3674493,5.329999923706055
9500,1742293577.1833453,5.050000190734863
10000,1742293871.3556507,5.539999961853027
10500,1742294167.1221719,5.230000019073486
11000,1742294460.3620052,5.96999979019165
11500,1742294754.4056635,5.880000114440918
12000,1742295048.3627334,6.139999866485596
12500,1742295342.7515225,6.230000019073486
13000,1742295636.8677976,6.300000190734863
13500,1742295930.7462409,6.159999847412109
14000,1742296224.8761227,6.139999866485596
14500,1742296519.522312,6.519999980926514
15000,1742296815.0162623,6.829999923706055
15500,1742297111.32856,7.510000228881836
16000,1742297407.9555168,7.480000019073486
16500,1742297703.4219453,7.380000114440918
17000,1742297998.5414379,6.989999771118164
17500,1742298293.7891147,7.079999923706055
18000,1742298589.976757,7.260000228881836
18500,1742298886.7080061,7.639999866485596
19000,1742299183.0907388,7.829999923706055
19500,1742299478.2995813,7.610000133514404
20000,1742299786.840111,7.760000228881836
