Step,WallTime,Value
500,1742288270.3192298,-0.6736000180244446
1000,1742288564.7391486,-0.6122300028800964
1500,1742288859.9975672,-0.7720500230789185
2000,1742289155.5586903,-0.5973399877548218
2500,1742289447.689397,-0.6061400175094604
3000,1742289760.7014089,-0.6545600295066833
3500,1742290069.7709656,-0.7657600045204163
4000,1742290362.3910458,-0.5411700010299683
4500,1742290654.4783034,-0.5620800256729126
5000,1742290946.6296778,-0.51596999168396
5500,1742291237.3079152,-0.49816998839378357
6000,1742291529.1733882,-0.44968000054359436
6500,1742291821.3981473,-0.33970001339912415
7000,1742292114.3027513,-0.3462100028991699
7500,1742292406.2192883,-0.2246599942445755
8000,1742292698.7061956,-0.2847500145435333
8500,1742292991.7486598,-0.22126999497413635
9000,1742293285.367558,0.23860999941825867
9500,1742293577.1834252,0.25558000802993774
10000,1742293871.3557408,0.485509991645813
10500,1742294167.122259,0.5578200221061707
11000,1742294460.3620992,1.1608999967575073
11500,1742294754.4057505,1.172410011291504
12000,1742295048.3628259,1.2848999500274658
12500,1742295342.751617,1.2881200313568115
13000,1742295636.8678722,1.271049976348877
13500,1742295930.7463183,1.4889299869537354
14000,1742296224.876213,1.4481099843978882
14500,1742296519.5238698,1.5544699430465698
15000,1742296815.016333,2.097759962081909
15500,1742297111.3286293,3.0170600414276123
16000,1742297407.955592,3.15408992767334
16500,1742297703.4220603,2.9065299034118652
17000,1742297998.541506,2.4377100467681885
17500,1742298293.7891908,2.354759931564331
18000,1742298589.9768484,2.597990036010742
18500,1742298886.7080917,3.1065800189971924
19000,1742299183.0908086,3.180180072784424
19500,1742299478.2996476,3.101439952850342
20000,1742299786.840185,3.335129976272583
