Step,WallTime,Value
500,1743161218.717952,3.450000047683716
1000,1743161723.2986808,3.4000000953674316
1500,1743162215.824621,3.640000104904175
2000,1743162703.2996314,3.5399999618530273
2500,1743163193.989475,3.4100000858306885
3000,1743163729.1759126,3.380000114440918
3500,1743164211.2218997,3.490000009536743
4000,1743164699.8467479,3.5199999809265137
4500,1743165182.1535523,3.5
5000,1743165666.4897833,3.700000047683716
5500,1743166154.759613,4.170000076293945
6000,1743166642.1288936,4.099999904632568
6500,1743167126.4616065,4.380000114440918
7000,1743167613.6541705,4.170000076293945
7500,1743168099.6085234,4.059999942779541
8000,1743168588.6883562,4.079999923706055
8500,1743169075.6488538,4.570000171661377
9000,1743169563.566194,3.9100000858306885
9500,1743170064.9701614,4.409999847412109
10000,1743170630.306398,4.760000228881836
10500,1743171452.8761337,4.489999771118164
11000,1743172057.890811,5.099999904632568
11500,1743172545.2591012,5.559999942779541
12000,1743173033.8982248,6.079999923706055
12500,1743173521.5127635,5.710000038146973
13000,1743174006.5861332,5.929999828338623
13500,1743174495.6342852,5.829999923706055
14000,1743174984.050642,6.28000020980835
14500,1743175465.6982026,5.840000152587891
15000,1743175946.1815379,6.059999942779541
15500,1743176429.9629507,6.929999828338623
16000,1743176910.5141306,6.539999961853027
16500,1743177391.7560794,6.820000171661377
17000,1743177872.3427033,6.650000095367432
17500,1743178353.6901665,6.730000019073486
18000,1743178835.7457972,6.480000019073486
18500,1743179318.5630188,6.78000020980835
19000,1743179801.672519,7.369999885559082
19500,1743180281.987418,6.159999847412109
20000,1743180763.3341858,5.929999828338623
