Step,WallTime,Value
500,1743161218.718077,-0.7830899953842163
1000,1743161723.298768,-0.809689998626709
1500,1743162215.824685,-0.708299994468689
2000,1743162703.299702,-0.7695099711418152
2500,1743163193.9895449,-0.8384799957275391
3000,1743163729.1759877,-0.8137999773025513
3500,1743164211.2221887,-0.7716299891471863
4000,1743164699.8468606,-0.7302700281143188
4500,1743165182.1536195,-0.8198000192642212
5000,1743165666.4898872,-0.675819993019104
5500,1743166154.7596877,-0.4710899889469147
6000,1743166642.1289685,-0.48750001192092896
6500,1743167126.4616838,-0.24073000252246857
7000,1743167613.654237,-0.340939998626709
7500,1743168099.6086144,-0.3715499937534332
8000,1743168588.6884208,-0.4145599901676178
8500,1743169075.6489158,-0.1815900057554245
9000,1743169563.5662584,-0.5072399973869324
9500,1743170064.970239,-0.16130000352859497
10000,1743170630.3065028,0.017009999603033066
10500,1743171452.8762097,-0.21250000596046448
11000,1743172057.8909225,0.33695998787879944
11500,1743172545.2592359,0.6363800168037415
12000,1743173033.8983164,1.0089999437332153
12500,1743173521.5128372,0.8222299814224243
13000,1743174006.5862517,0.9349200129508972
13500,1743174495.6343646,1.0201599597930908
14000,1743174984.0507295,1.3621599674224854
14500,1743175465.6983025,0.9507399797439575
15000,1743175946.1817966,1.2946200370788574
15500,1743176429.9630575,1.8996000289916992
16000,1743176910.5142,1.4254499673843384
16500,1743177391.756161,1.8767199516296387
17000,1743177872.3427794,1.7375999689102173
17500,1743178353.6902466,1.8443599939346313
18000,1743178835.745867,1.5443600416183472
18500,1743179318.5631204,1.695099949836731
19000,1743179801.672585,2.1688098907470703
19500,1743180281.987483,1.2293200492858887
20000,1743180763.3342514,1.1894500255584717
