Step,WallTime,Value
100,1742398136.6468468,-0.5873200297355652
200,1742398196.6698384,-0.5256122350692749
300,1742398256.341417,-0.5163421034812927
400,1742398314.2671733,-0.563539981842041
500,1742398372.6033373,-0.45379000902175903
600,1742398431.3703341,-0.5088800191879272
700,1742398489.442566,-0.5472300052642822
800,1742398549.1705897,-0.4876199960708618
900,1742398607.4362264,-0.6017900109291077
1000,1742398665.9260597,-0.5601999759674072
1100,1742398723.9998875,-0.517520010471344
1200,1742398782.3044996,-0.5201299786567688
1300,1742398840.4972556,-0.4478200078010559
1400,1742398900.086849,-0.4051699936389923
1500,1742398958.0568614,-0.520330011844635
1600,1742399016.271816,-0.5594300031661987
1700,1742399074.314406,-0.5483499765396118
1800,1742399131.6920087,-0.5629000067710876
1900,1742399192.3509724,-0.43334001302719116
2000,1742399249.8861582,-0.3805899918079376
2100,1742399307.951727,-0.42517000436782837
2200,1742399370.4037285,-0.37171998620033264
2300,1742399428.0297873,-0.37828999757766724
2400,1742399488.1824043,-0.46775999665260315
2500,1742399545.8563857,-0.49145999550819397
2600,1742399604.1919932,-0.4806100130081177
2700,1742399662.7256715,-0.5023599863052368
2800,1742399721.3624177,-0.44516998529434204
2900,1742399781.3610742,-0.3638800084590912
3000,1742399839.4705102,-0.36671000719070435
3100,1742399897.8176045,-0.3213199973106384
3200,1742399955.8720381,-0.36228999495506287
3300,1742400014.1862805,-0.44437000155448914
3400,1742400074.04596,-0.44633999466896057
3500,1742400132.2144105,-0.5386899709701538
3600,1742400190.5080957,-0.48844000697135925
3700,1742400248.6816084,-0.48146000504493713
3800,1742400306.802606,-0.5153700113296509
3900,1742400366.4151995,-0.5683900117874146
4000,1742400424.6651485,-0.5825499892234802
4100,1742400482.9893255,-0.5360699892044067
4200,1742400541.1794004,-0.5517500042915344
4300,1742400599.5293183,-0.4614500105381012
4400,1742400659.9310195,-0.40806999802589417
4500,1742400718.3148477,-0.37206000089645386
4600,1742400776.68502,-0.300570011138916
4700,1742400835.3758059,-0.2630299925804138
4800,1742400894.1221113,-0.17653000354766846
4900,1742400953.9615974,-0.21322999894618988
5000,1742401012.5493448,-0.1623300015926361
5100,1742401070.677408,-0.35343000292778015
5200,1742401128.844602,-0.45761001110076904
5300,1742401186.9999132,-0.44040998816490173
5400,1742401245.9516196,-0.5156999826431274
5500,1742401304.026465,-0.5104100108146667
5600,1742401362.4019766,-0.4871099889278412
5700,1742401420.2779858,-0.5813999772071838
5800,1742401478.8843262,-0.4338200092315674
5900,1742401538.3656151,-0.4078400135040283
6000,1742401596.1809425,-0.44843000173568726
6100,1742401654.426808,-0.35120001435279846
6200,1742401712.5176613,-0.4867599904537201
6300,1742401770.9361844,-0.4546999931335449
6400,1742401831.306701,-0.33952999114990234
6500,1742401889.3076396,-0.32510998845100403
6600,1742401947.4516168,-0.3611699938774109
6700,1742402005.5263238,-0.4101099967956543
6800,1742402063.877236,-0.404229998588562
6900,1742402123.6003017,-0.4014500081539154
7000,1742402181.6680553,-0.37307000160217285
7100,1742402239.7257655,-0.3959699869155884
7200,1742402297.363465,-0.5351499915122986
7300,1742402355.3446965,-0.4390600025653839
7400,1742402415.0411062,-0.4690299928188324
7500,1742402472.4230294,-0.46990999579429626
7600,1742402530.1921666,-0.3920300006866455
7700,1742402588.2483456,-0.49171000719070435
7800,1742402646.1247487,-0.4088200032711029
7900,1742402706.0638943,-0.3352600038051605
8000,1742402764.8563013,-0.2425999939441681
8100,1742402823.175372,-0.2896699905395508
8200,1742402881.8142188,-0.14103999733924866
8300,1742402939.9853854,-0.13877999782562256
8400,1742403000.2634928,-0.27792999148368835
8500,1742403059.0072868,-0.16399000585079193
8600,1742403117.203931,-0.21570000052452087
8700,1742403175.123913,-0.35561999678611755
8800,1742403233.202898,-0.37123000621795654
8900,1742403293.232107,-0.404339998960495
9000,1742403351.599547,-0.2901400029659271
9100,1742403409.3871021,-0.34904998540878296
9200,1742403467.2749417,-0.18258999288082123
9300,1742403525.9061632,-0.044520001858472824
9400,1742403585.3408353,-0.14007000625133514
9500,1742403643.6483502,-0.09161999821662903
9600,1742403701.640143,-0.13252000510692596
9700,1742403759.4977548,-0.2307099997997284
9800,1742403817.4834213,-0.21402999758720398
9900,1742403877.2839983,-0.21184000372886658
10000,1742403935.0854409,-0.36434000730514526
10100,1742403993.3253038,-0.30052000284194946
10200,1742404051.416801,-0.2558499872684479
10300,1742404109.2622342,-0.3549099862575531
10400,1742404169.2423387,-0.28150999546051025
10500,1742404227.6087391,-0.313620001077652
10600,1742404285.7476294,-0.28624001145362854
10700,1742404343.4867926,-0.31714001297950745
10800,1742404401.460272,-0.29892000555992126
10900,1742404462.1450572,-0.27994000911712646
11000,1742404520.074115,-0.24265000224113464
11100,1742404577.4400072,-0.363209992647171
11200,1742404634.6817102,-0.39068999886512756
11300,1742404696.5364187,-0.1401599943637848
11400,1742404754.2476695,-0.15374000370502472
11500,1742404811.8457665,-0.20173999667167664
11600,1742404870.032305,-0.14654000103473663
11700,1742404928.194794,-0.08027999848127365
11800,1742404988.1249547,-0.21573999524116516
11900,1742405046.1080248,-0.16405999660491943
12000,1742405103.985193,-0.050530001521110535
12100,1742405162.4114046,-0.030079999938607216
12200,1742405220.5947747,-0.08434999734163284
12300,1742405280.3046045,-0.14541999995708466
12400,1742405338.545641,-0.09625999629497528
12500,1742405396.9884655,-0.042980000376701355
12600,1742405455.568748,-0.12283000349998474
12700,1742405513.6754246,-0.08115000277757645
12800,1742405573.3863442,-0.16051000356674194
12900,1742405631.6670578,-0.07944999635219574
13000,1742405689.968397,-0.14839999377727509
13100,1742405748.3909702,0.04162000119686127
13200,1742405805.8862646,0.0413299985229969
13300,1742405864.6264932,0.08797000348567963
13400,1742405923.1238225,0.1717900037765503
13500,1742405981.7642128,0.21573999524116516
13600,1742406040.2673254,0.06908000260591507
13700,1742406098.4322667,-0.0193099994212389
13800,1742406158.6488519,-0.04569000005722046
13900,1742406217.0191178,-0.2579300105571747
14000,1742406275.5481155,-0.21565000712871552
14100,1742406333.8371117,-0.17344999313354492
14200,1742406393.4341023,-0.27285000681877136
14300,1742406451.6426823,-0.13600000739097595
14400,1742406509.6460583,-0.26583999395370483
14500,1742406567.9324653,-0.28870001435279846
14600,1742406626.1391242,-0.1755100041627884
14700,1742406686.3079324,-0.0031300000846385956
14800,1742406744.8863096,0.0011399999493733048
14900,1742406803.5312402,0.08089999854564667
15000,1742406862.2796295,0.14326000213623047
15100,1742406920.6647887,0.16234000027179718
15200,1742406980.2103796,0.005090000107884407
15300,1742407038.8710735,0.052390001714229584
15400,1742407097.0268214,-0.0029800001066178083
15500,1742407155.561123,-0.03003999963402748
15600,1742407214.6622036,-0.003470000112429261
15700,1742407272.961794,0.06611999869346619
15800,1742407330.8101156,0.013340000063180923
15900,1742407388.643583,0.11547999829053879
16000,1742407446.9586368,0.11808999627828598
16100,1742407508.4151108,0.21258999407291412
16200,1742407566.7038133,0.3604300022125244
16300,1742407624.8706665,0.3293200135231018
16400,1742407682.8712125,0.09217000007629395
16500,1742407741.235616,0.03709999844431877
16600,1742407801.1661541,-0.08169999718666077
16700,1742407859.1177797,-0.1940000057220459
16800,1742407917.2966852,0.08030000329017639
16900,1742407975.431371,0.1540299952030182
17000,1742408035.5480638,0.19491000473499298
17100,1742408093.6960907,0.20175999402999878
17200,1742408152.1480265,0.19461999833583832
17300,1742408210.5957196,0.16357000172138214
17400,1742408268.7847693,0.14500999450683594
17500,1742408328.7747512,0.06251999735832214
17600,1742408387.4611099,0.22904999554157257
17700,1742408445.9425824,0.20572000741958618
17800,1742408504.6313715,0.28119999170303345
17900,1742408565.3484595,0.33577999472618103
18000,1742408624.0001748,0.4718399941921234
18100,1742408682.9538846,0.5019500255584717
18200,1742408742.6727345,0.5716699957847595
18300,1742408800.9641702,0.4570600092411041
18400,1742408861.9198713,0.5385599732398987
18500,1742408920.258625,0.44683998823165894
18600,1742408978.6988573,0.32826000452041626
18700,1742409037.280729,0.09068000316619873
18800,1742409097.034709,-0.016289999708533287
18900,1742409155.5606816,-0.07345999777317047
19000,1742409214.1094098,-0.07240000367164612
19100,1742409272.9223588,-0.14131000638008118
19200,1742409331.3934088,-0.15324999392032623
19300,1742409392.7844348,0.0134699996560812
19400,1742409451.3213167,-0.02539999969303608
19500,1742409509.5558546,-0.11754000186920166
19600,1742409567.6254578,-0.08463999629020691
19700,1742409627.4247599,-0.2169799953699112
19800,1742409686.0122728,-0.22068999707698822
19900,1742409744.8933198,-0.08013000339269638
20000,1742409803.0248318,-0.15921999514102936
