Step,WallTime,Value
13,1742743390.5433328,-0.7749999761581421
28,1742743398.2917783,-0.7963749766349792
40,1742743405.7112403,-0.8642500042915344
58,1742743416.2651536,-0.7344375252723694
77,1742743426.3005157,-0.6520500183105469
89,1742743433.7599666,-0.7100416421890259
101,1742743439.944171,-0.751464307308197
115,1742743449.072587,-0.7544062733650208
130,1742743462.5903454,-0.7364444732666016
149,1742743474.3532386,-0.6831250190734863
161,1742743480.870409,-0.7119318246841431
173,1742743488.620579,-0.7359374761581421
193,1742743500.7940905,-0.6864615678787231
208,1742743509.228895,-0.6943928599357605
220,1742743517.06175,-0.7147666811943054
238,1742743527.7252142,-0.6791562438011169
255,1742743537.598929,-0.6686176657676697
272,1742743551.5983665,-0.6606388688087463
284,1742743559.8330188,-0.6784999966621399
297,1742743566.955912,-0.685462474822998
310,1742743575.2744162,-0.6917619109153748
322,1742743581.7894297,-0.7057726979255676
334,1742743589.5043304,-0.7185652256011963
356,1742743602.9700518,-0.6850937604904175
368,1742743609.5465598,-0.6976900100708008
382,1742743618.4303882,-0.6895899772644043
402,1742743630.851187,-0.6280999779701233
414,1742743637.3556163,-0.6280999779701233
427,1742743645.6120117,-0.6452999711036682
439,1742743652.1005416,-0.6723999977111816
458,1742743663.8285816,-0.6207200288772583
473,1742743673.2896144,-0.5873299837112427
485,1742743679.763637,-0.5963299870491028
497,1742743687.6202333,-0.6126199960708618
516,1742743699.4574401,-0.6154900193214417
529,1742743706.4689183,-0.6073899865150452
549,1742743718.5843668,-0.5728099942207336
563,1742743727.5613382,-0.6000999808311462
578,1742743735.653866,-0.5846199989318848
593,1742743745.0240421,-0.5756199955940247
605,1742743751.6842613,-0.6098200082778931
620,1742743761.0115857,-0.6117200255393982
639,1742743772.615288,-0.595329999923706
651,1742743779.2031271,-0.595329999923706
666,1742743788.5511112,-0.595329999923706
682,1742743798.5706716,-0.5753300189971924
694,1742743805.1500123,-0.5753300189971924
706,1742743812.9196463,-0.5753300189971924
720,1742743820.5099878,-0.6033300161361694
739,1742743832.1380951,-0.5518400073051453
757,1742743843.2413514,-0.5428400039672852
775,1742743854.303714,-0.5743600130081177
789,1742743861.9218957,-0.5653600096702576
807,1742743872.9750087,-0.5480700135231018
826,1742743884.5633914,-0.5226799845695496
842,1742743894.515752,-0.5570700168609619
855,1742743901.7619767,-0.5814599990844727
869,1742743910.6703355,-0.5651699900627136
885,1742743919.6235735,-0.5480700135231018
901,1742743929.3171868,-0.561680018901825
913,1742743937.0830462,-0.5697799921035767
925,1742743943.573019,-0.6043599843978882
937,1742743951.3623722,-0.6133599877357483
954,1742743960.6302836,-0.6179400086402893
981,1742743977.5505552,-0.5302500128746033
1001,1742743988.9423187,-0.49775999784469604
1017,1742743998.8736556,-0.48875999450683594
1029,1742744006.6959376,-0.524150013923645
1043,1742744014.2648904,-0.5168600082397461
1063,1742744026.6033432,-0.4907599985599518
1075,1742744034.382116,-0.5180500149726868
1087,1742744040.8970668,-0.5180500149726868
1103,1742744050.8687356,-0.49994999170303345
1118,1742744059.5215454,-0.5080500245094299
1133,1742744068.3746915,-0.5414400100708008
1147,1742744077.2273257,-0.547540009021759
1159,1742744083.6577907,-0.5848000049591064
1173,1742744092.4913654,-0.566510021686554
1190,1742744102.579668,-0.5746999979019165
1205,1742744111.0710018,-0.5827999711036682
1219,1742744119.8428142,-0.5800899863243103
1231,1742744126.2298276,-0.5890899896621704
1246,1742744135.4715297,-0.5972800254821777
1264,1742744146.5286298,-0.5963799953460693
1277,1742744157.772435,-0.6027699708938599
1289,1742744165.5279064,-0.6027699708938599
1302,1742744173.3785655,-0.5946699976921082
1314,1742744180.2566037,-0.5946699976921082
1326,1742744187.6837685,-0.6136699914932251
1339,1742744195.0757012,-0.7013599872589111
1351,1742744202.8374228,-0.7338500022888184
1375,1742744217.2703896,-0.701170027256012
1389,1742744224.8605356,-0.6811699867248535
1412,1742744238.7919009,-0.5666700005531311
1431,1742744250.415704,-0.5557600259780884
1452,1742744263.229198,-0.5023699998855591
1472,1742744275.5052302,-0.443589985370636
1489,1742744285.7770777,-0.43630000948905945
