Step,WallTime,Value
13,1742626385.248923,-0.75
32,1742626395.4877398,-0.5576249957084656
44,1742626402.7268414,-0.7050833106040955
58,1742626409.6968963,-0.7163125276565552
71,1742626417.414702,-0.7365999817848206
83,1742626423.4494724,-0.7804999947547913
103,1742626434.9154658,-0.6725714206695557
121,1742626445.8233097,-0.6398125290870667
136,1742626454.2202005,-0.652055561542511
148,1742626461.4595366,-0.6868500113487244
171,1742626475.1683123,-0.5717272758483887
189,1742626490.9819033,-0.5528333187103271
201,1742626498.186369,-0.5872307419776917
221,1742626511.4536526,-0.558696448802948
240,1742626522.629101,-0.5078499913215637
252,1742626530.3589468,-0.5386093854904175
264,1742626536.7437258,-0.565750002861023
276,1742626544.480357,-0.5898749828338623
288,1742626550.8584793,-0.6114605069160461
300,1742626558.566502,-0.630887508392334
319,1742626570.0359957,-0.5826428532600403
331,1742626576.521129,-0.6016136407852173
350,1742626588.002684,-0.5836195945739746
364,1742626595.9372923,-0.593375027179718
379,1742626604.7715633,-0.5996400117874146
398,1742626616.243012,-0.5823500156402588
420,1742626629.3022869,-0.5345399975776672
432,1742626635.7014885,-0.5345399975776672
454,1742626648.865995,-0.48837000131607056
471,1742626659.2897441,-0.4702700078487396
493,1742626672.6646197,-0.4131700098514557
517,1742626686.947608,-0.38609999418258667
534,1742626697.2961464,-0.3816800117492676
553,1742626707.8923502,-0.35657998919487
565,1742626715.0193615,-0.35657998919487
577,1742626721.9645414,-0.41975998878479004
589,1742626729.0923576,-0.44595998525619507
604,1742626738.3579605,-0.43867000937461853
617,1742626745.2406414,-0.46215999126434326
632,1742626754.6067398,-0.5013200044631958
652,1742626766.691501,-0.4559299945831299
668,1742626775.2192261,-0.43783000111579895
686,1742626786.2205067,-0.41982999444007874
698,1742626793.780565,-0.41982999444007874
710,1742626800.243374,-0.41982999444007874
728,1742626811.2096825,-0.44001999497413635
743,1742626819.7732441,-0.4200200140476227
757,1742626828.0407438,-0.4435099959373474
772,1742626837.3806336,-0.4408000111579895
785,1742626844.3032167,-0.4408000111579895
797,1742626851.968214,-0.4680899977684021
810,1742626858.9325674,-0.532289981842041
822,1742626866.5275505,-0.532289981842041
837,1742626874.950875,-0.5722600221633911
850,1742626882.690475,-0.5895500183105469
872,1742626895.766953,-0.5933499932289124
885,1742626903.318783,-0.6494200229644775
901,1742626912.4999554,-0.648419976234436
921,1742626924.5267525,-0.6082599759101868
947,1742626939.8477056,-0.5249000191688538
961,1742626948.4791582,-0.5159000158309937
973,1742626955.8215048,-0.5159000158309937
988,1742626965.0997791,-0.5069900155067444
1000,1742626971.6592743,-0.5159900188446045
1016,1742626981.2537081,-0.5087900161743164
1028,1742626988.9218144,-0.5541800260543823
1052,1742627003.1760085,-0.5180799961090088
1066,1742627010.5650475,-0.5270799994468689
1086,1742627022.5947738,-0.47648999094963074
1101,1742627031.8218706,-0.4584900140762329
1123,1742627044.8363252,-0.44749000668525696
1146,1742627058.4406903,-0.40852001309394836
1165,1742627068.7455783,-0.3875199854373932
1187,1742627081.7529755,-0.33755001425743103
1199,1742627093.10339,-0.34755000472068787
1211,1742627100.7417316,-0.34755000472068787
1223,1742627107.102526,-0.356550008058548
1235,1742627114.6519904,-0.356550008058548
1249,1742627122.1645303,-0.35736000537872314
1262,1742627130.3548694,-0.35646000504493713
1277,1742627138.3654912,-0.38975998759269714
1295,1742627149.234984,-0.3754599988460541
1312,1742627159.5525396,-0.37926000356674194
1330,1742627170.4443328,-0.42212000489234924
1345,1742627178.5354433,-0.48089998960494995
1360,1742627187.7775269,-0.4609000086784363
1372,1742627194.0739312,-0.4609000086784363
1397,1742627209.0388007,-0.42002999782562256
1415,1742627219.785125,-0.40202999114990234
1436,1742627232.3434722,-0.35826000571250916
1454,1742627243.2380972,-0.323060005903244
1468,1742627250.9016337,-0.3699699938297272
1483,1742627259.9276361,-0.36087000370025635
1495,1742627267.3049548,-0.4114600121974945
1514,1742627277.7845697,-0.4023599922657013
1526,1742627285.38164,-0.44846001267433167
1541,1742627293.9606817,-0.4984300136566162
1557,1742627303.225398,-0.508430004119873
1574,1742627313.5610118,-0.5240100026130676
1587,1742627320.5233183,-0.5167199969291687
1604,1742627330.7722688,-0.5021399855613708
1616,1742627338.2530303,-0.5021399855613708
1636,1742627349.3686576,-0.44398000836372375
1659,1742627362.8568013,-0.39478999376296997
1671,1742627370.2189941,-0.4037899971008301
1686,1742627379.1415896,-0.41569000482559204
1707,1742627391.1206694,-0.41370001435279846
1724,1742627401.0901473,-0.4108999967575073
1744,1742627415.4582725,-0.3962000012397766
1762,1742627428.9423745,-0.3880999982357025
1774,1742627437.5450134,-0.4171000123023987
1788,1742627447.7661657,-0.4090000092983246
1806,1742627461.2850752,-0.43977999687194824
1826,1742627476.2344477,-0.39232999086380005
1839,1742627485.748842,-0.4422999918460846
1858,1742627499.585375,-0.4164699912071228
1870,1742627508.756902,-0.42375999689102173
1888,1742627522.3142145,-0.41999000310897827
1921,1742627546.4107513,-0.23510000109672546
1935,1742627557.2856574,-0.2549099922180176
1952,1742627568.0249698,-0.23590999841690063
1974,1742627581.1931994,-0.19251999258995056
1990,1742627589.7691038,-0.17893999814987183
2010,1742627601.8089936,-0.19255000352859497
2030,1742627613.8130226,-0.16015000641345978
2045,1742627622.9963894,-0.1566299945116043
2069,1742627637.261614,-0.09765999764204025
2090,1742627649.5811298,-0.11585000157356262
2102,1742627655.9425554,-0.18042999505996704
2114,1742627663.5334055,-0.18042999505996704
2140,1742627678.8551352,-0.10124000161886215
2157,1742627688.100584,-0.10752999782562256
2169,1742627695.5355513,-0.1355299949645996
2188,1742627709.4588168,-0.1321299970149994
2205,1742627719.6601858,-0.14851999282836914
2217,1742627726.2014022,-0.14851999282836914
2235,1742627737.0482035,-0.1304199993610382
2248,1742627743.9302375,-0.14860999584197998
2265,1742627754.2260737,-0.19505999982357025
2281,1742627764.0135643,-0.18876999616622925
2293,1742627770.3622634,-0.24979999661445618
2311,1742627781.2124588,-0.23251000046730042
2325,1742627789.9953313,-0.23709000647068024
2337,1742627796.360454,-0.42197999358177185
2351,1742627805.0353107,-0.4211699962615967
2366,1742627813.002277,-0.424780011177063
2383,1742627823.299209,-0.4625900089740753
2397,1742627832.0606892,-0.488070011138916
2412,1742627840.121563,-0.5034599900245667
2427,1742627849.3531182,-0.535860002040863
2442,1742627858.0575783,-0.5466700196266174
2454,1742627864.962276,-0.6056399941444397
2470,1742627874.7444966,-0.6202200055122375
2482,1742627881.1252568,-0.6202200055122375
2495,1742627889.31383,-0.6129299998283386
2508,1742627896.184527,-0.6929299831390381
2520,1742627903.8258958,-0.7129300236701965
2532,1742627910.2073557,-0.7129300236701965
2550,1742627921.1427183,-0.7371399998664856
2564,1742627929.9432383,-0.7444300055503845
2579,1742627937.9675288,-0.7371399998664856
2591,1742627945.595295,-0.7633399963378906
2603,1742627951.9758456,-0.7714400291442871
2624,1742627964.628071,-0.7259899973869324
2640,1742627974.4572854,-0.7249900102615356
2652,1742627981.064227,-0.7249900102615356
2666,1742627989.6903949,-0.7332800030708313
2680,1742627998.377794,-0.741569995880127
2697,1742628007.5023196,-0.7269899845123291
2711,1742628016.1919708,-0.717989981174469
2725,1742628024.395141,-0.7252799868583679
2740,1742628032.8612444,-0.7308599948883057
2752,1742628040.595381,-0.7389600276947021
2771,1742628050.9836483,-0.7218599915504456
2785,1742628059.442446,-0.7218599915504456
2797,1742628066.5273073,-0.7291499972343445
2809,1742628073.4043584,-0.7291499972343445
2834,1742628088.590576,-0.6832399964332581
2846,1742628096.2512977,-0.6832399964332581
2865,1742628106.6362677,-0.6388499736785889
2881,1742628116.340413,-0.6280400156974792
2904,1742628130.02194,-0.5545799732208252
2926,1742628143.1551433,-0.49658000469207764
2946,1742628155.0451708,-0.48767000436782837
2965,1742628166.4886146,-0.47056999802589417
2977,1742628172.8826811,-0.4778600037097931
2989,1742628180.5105896,-0.4778600037097931
3008,1742628191.3640757,-0.4407599866390228
3024,1742628200.5574462,-0.4808200001716614
3041,1742628210.949557,-0.4791100025177002
3062,1742628223.41716,-0.4440099895000458
3074,1742628229.7488542,-0.4530099928379059
3087,1742628237.9312305,-0.45471999049186707
3102,1742628246.127188,-0.4521999955177307
3114,1742628253.3846092,-0.4693000018596649
3129,1742628262.6392317,-0.4593999981880188
3148,1742628272.9269469,-0.4160099923610687
3165,1742628283.3331108,-0.39601001143455505
3177,1742628290.9503074,-0.4284999966621399
3190,1742628297.8040586,-0.425790011882782
3204,1742628306.5894957,-0.40950000286102295
3217,1742628318.5521786,-0.40139999985694885
3229,1742628325.0310469,-0.47269999980926514
3248,1742628336.5608718,-0.4362500011920929
3266,1742628347.4832773,-0.46334999799728394
3296,1742628364.9241314,-0.3551599979400635
3323,1742628380.7255082,-0.2923299968242645
3347,1742628394.8457797,-0.25033000111579895
3366,1742628406.2110744,-0.23553000390529633
3385,1742628417.6692498,-0.23352999985218048
3409,1742628431.7878132,-0.1435299962759018
3431,1742628444.8830745,-0.06084999814629555
3464,1742628464.0568843,0.0983399972319603
3488,1742628478.2842515,0.1892399936914444
3506,1742628489.1951303,0.19923999905586243
3531,1742628503.8643315,0.23024000227451324
3556,1742628518.6481693,0.36024001240730286
3580,1742628532.7914295,0.4410499930381775
3602,1742628545.8231766,0.4702399969100952
3626,1742628559.9341445,0.542639970779419
3645,1742628571.3365164,0.5517399907112122
3665,1742628583.2807574,0.5728399753570557
3694,1742628600.1421854,0.6891300082206726
3723,1742628616.9833114,0.8581299781799316
3745,1742628630.050287,0.9396200180053711
3758,1742628637.7205973,0.9333299994468689
3774,1742628646.6823835,0.9433299899101257
3796,1742628659.7499819,1.0123300552368164
3819,1742628673.3624654,1.0958800315856934
3839,1742628685.4154623,1.1412999629974365
3861,1742628698.4628065,1.0940099954605103
3881,1742628710.4258187,1.0267200469970703
3911,1742628727.963922,1.0767199993133545
3942,1742628745.9188247,1.201300024986267
3966,1742628760.1742172,1.2667800188064575
3991,1742628775.296095,1.2867799997329712
4018,1742628792.0169652,1.3241000175476074
4050,1742628810.659987,1.3386800289154053
4082,1742628829.2432184,1.389840006828308
4105,1742628842.8641505,1.4508399963378906
4135,1742628861.5629976,1.5563900470733643
4160,1742628876.2396758,1.5053900480270386
4195,1742628896.5541103,1.6072900295257568
4226,1742628915.3449492,1.7410000562667847
4259,1742628935.1801956,1.8358900547027588
4291,1742628953.91924,1.9950799942016602
4320,1742628971.6539187,2.0751700401306152
4343,1742628985.0561304,2.014169931411743
4363,1742628996.2239027,1.9251699447631836
4390,1742629012.6950424,1.9626799821853638
4405,1742629021.3064644,1.9826799631118774
4426,1742629033.914386,2.0345799922943115
4447,1742629046.5660872,2.0255799293518066
4476,1742629063.4022937,2.0628700256347656
4499,1742629077.053201,2.0718700885772705
4531,1742629096.0498369,2.1738998889923096
4557,1742629111.998628,2.234060049057007
4580,1742629125.5976214,2.164060115814209
4608,1742629142.1836154,2.147480010986328
4630,1742629155.2588198,2.1411900520324707
4653,1742629168.9387574,2.1330599784851074
4683,1742629186.4706435,2.2066400051116943
4714,1742629204.4533167,2.1457700729370117
4746,1742629224.3908408,2.139319896697998
4772,1742629239.6101701,2.1337099075317383
4792,1742629251.628082,2.022059917449951
4817,1742629266.4825437,2.037450075149536
4846,1742629283.5351377,1.9947400093078613
4873,1742629299.3913944,1.9393199682235718
4896,1742629313.0676866,1.862030029296875
4928,1742629331.803649,1.8656799793243408
4961,1742629352.0362687,1.8926899433135986
4987,1742629367.2601523,1.9008899927139282
5015,1742629383.6501539,1.9289900064468384
5041,1742629398.92888,1.9452799558639526
5068,1742629414.835469,2.0713798999786377
5087,1742629426.3165276,2.060379981994629
5106,1742629437.724511,2.0703799724578857
5128,1742629450.828286,2.0030899047851562
5145,1742629461.1756244,1.9740899801254272
5174,1742629478.0842233,1.913059949874878
5203,1742629495.1589832,1.9438999891281128
5230,1742629510.9888027,1.9738999605178833
5259,1742629529.0771182,1.9738999605178833
5284,1742629543.9402747,2.0056099891662598
5313,1742629560.9896345,2.0627400875091553
5340,1742629576.8762872,2.0317399501800537
5363,1742629590.4682462,1.9817399978637695
5388,1742629605.2368183,1.9298399686813354
5414,1742629620.6501691,1.9550399780273438
5432,1742629631.5047004,1.9550399780273438
5445,1742629639.0950992,1.870650053024292
5477,1742629658.2088506,1.8814599514007568
5496,1742629669.5980053,1.8220800161361694
5518,1742629682.6511137,1.792080044746399
5535,1742629691.7777624,1.6521400213241577
5560,1742629706.5967228,1.5715500116348267
5584,1742629721.0446718,1.5915499925613403
5606,1742629733.8588543,1.5615500211715698
5627,1742629746.345564,1.5062600374221802
5655,1742629763.0459058,1.4782600402832031
5677,1742629775.738849,1.489259958267212
5705,1742629793.206635,1.5682599544525146
5725,1742629804.2702227,1.5463600158691406
5741,1742629814.0371299,1.526360034942627
5765,1742629828.1081455,1.5017499923706055
5784,1742629839.5691814,1.4069499969482422
5804,1742629851.543634,1.3532400131225586
5832,1742629867.9471903,1.3252400159835815
5853,1742629880.5081456,1.2762399911880493
5881,1742629896.9821985,1.2525299787521362
5913,1742629915.8816428,1.2641500234603882
5940,1742629932.7305977,1.3087300062179565
5957,1742629941.9651136,1.2496299743652344
5971,1742629950.6557462,1.1562399864196777
5997,1742629965.9405913,1.2162400484085083
6018,1742629978.39911,1.2832399606704712
6043,1742629993.137843,1.2404299974441528
6068,1742630007.9140236,1.2533299922943115
6084,1742630017.7926826,1.2214299440383911
6099,1742630025.7718482,1.1914299726486206
6114,1742630034.9934742,1.118530035018921
6130,1742630044.7598586,1.0450400114059448
6152,1742630057.6811879,1.0161000490188599
6167,1742630065.8102434,0.9361000061035156
6179,1742630073.4808807,0.8080000281333923
6200,1742630085.8134825,0.7788699865341187
6212,1742630092.2113283,0.6298699975013733
6224,1742630099.807366,0.5617700219154358
6239,1742630108.0000176,0.5480599999427795
6257,1742630118.8951802,0.495059996843338
6279,1742630131.9730809,0.4988600015640259
6294,1742630140.8529377,0.4625700116157532
6308,1742630148.6909986,0.3479599952697754
6320,1742630156.387605,0.27796000242233276
6332,1742630162.7439325,0.14267000555992126
6347,1742630172.0237398,-0.021530000492930412
6359,1742630178.3985171,-0.16610999405384064
6376,1742630188.743489,-0.19710999727249146
6391,1742630197.9345086,-0.1943099945783615
6407,1742630206.5545301,-0.2897300124168396
6419,1742630214.1984897,-0.3667300045490265
6431,1742630220.5677025,-0.48201999068260193
6443,1742630228.1750736,-0.5601199865341187
6459,1742630237.2619338,-0.5602200031280518
6479,1742630248.7608738,-0.5186300277709961
6493,1742630257.540931,-0.5384399890899658
6505,1742630264.235283,-0.5684400200843811
6526,1742630276.4632285,-0.5576000213623047
6538,1742630284.107888,-0.5676000118255615
6550,1742630290.4881577,-0.5676000118255615
6562,1742630298.1124105,-0.6084700226783752
6579,1742630308.177593,-0.590470016002655
6598,1742630318.5242126,-0.5651800036430359
6615,1742630328.9131958,-0.5651800036430359
6628,1742630337.1766222,-0.5985699892044067
6640,1742630343.5355294,-0.6675699949264526
6660,1742630355.5359108,-0.6622800230979919
6672,1742630362.4936025,-0.6776700019836426
6692,1742630373.9773016,-0.6459900140762329
6704,1742630381.5249238,-0.6459900140762329
6716,1742630387.8793166,-0.6559900045394897
6728,1742630395.5581424,-0.6559900045394897
6740,1742630401.926921,-0.67399001121521
6752,1742630409.4949927,-0.6929900050163269
6766,1742630417.1521108,-0.7075700163841248
6780,1742630425.6559193,-0.7002800107002258
6792,1742630432.8394685,-0.7002800107002258
6810,1742630442.9478827,-0.6678799986839294
6826,1742630452.7535317,-0.6697800159454346
6848,1742630465.854487,-0.6859800219535828
6862,1742630473.963523,-0.6832699775695801
6874,1742630480.8907175,-0.6832699775695801
6892,1742630491.755165,-0.7089700102806091
6905,1742630498.6694024,-0.6916800141334534
6918,1742630506.7951431,-0.6826800107955933
6930,1742630513.1532397,-0.6826800107955933
6944,1742630521.9213622,-0.6933900117874146
6956,1742630528.6066747,-0.7186800241470337
6971,1742630537.4986627,-0.7187700271606445
6988,1742630547.7307985,-0.6941900253295898
7002,1742630555.2309046,-0.6860899925231934
7016,1742630564.0155313,-0.6932799816131592
7028,1742630571.2403624,-0.6932799816131592
7048,1742630582.5492873,-0.6907600164413452
7064,1742630592.3621337,-0.6736599802970886
7076,1742630599.6432357,-0.6736599802970886
7096,1742630610.7936718,-0.601170003414154
7108,1742630618.4126863,-0.601170003414154
7131,1742630632.1211548,-0.5561699867248535
7148,1742630642.53908,-0.5319700241088867
7163,1742630650.6107147,-0.522159993648529
7184,1742630663.0906808,-0.47437000274658203
7196,1742630670.7951155,-0.5067700147628784
7219,1742630684.5249681,-0.44707998633384705
7247,1742630700.7336154,-0.353300005197525
7265,1742630711.5191548,-0.33629998564720154
7277,1742630718.0249557,-0.33629998564720154
7293,1742630727.792718,-0.3470200002193451
7306,1742630734.7479925,-0.35701999068260193
7318,1742630742.3789275,-0.36601999402046204
7332,1742630749.8377457,-0.35791999101638794
7351,1742630761.3556836,-0.31992000341415405
7363,1742630768.9770634,-0.31992000341415405
7378,1742630776.899009,-0.32712000608444214
7390,1742630784.4689534,-0.36070001125335693
7402,1742630790.86087,-0.36880001425743103
7415,1742630799.0735507,-0.37961000204086304
7437,1742630812.187603,-0.3174099922180176
7454,1742630822.2960718,-0.32460999488830566
7469,1742630830.542159,-0.33270999789237976
7481,1742630838.0949473,-0.33270999789237976
7493,1742630844.438389,-0.4052000045776367
7514,1742630857.0498834,-0.3347100019454956
7535,1742630869.6085584,-0.32183000445365906
7553,1742630880.487713,-0.32903000712394714
7565,1742630886.9090168,-0.34613001346588135
7577,1742630894.4622498,-0.39392000436782837
7596,1742630905.5354636,-0.3497200012207031
7609,1742630912.826512,-0.4274100065231323
7621,1742630920.4932227,-0.5665799975395203
7635,1742630927.928132,-0.5755800008773804
7647,1742630935.6315746,-0.5755800008773804
